PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT,TO,SF,ANDONE,SCORE,
Jordan Hamilton,NOP,11,7,8.00%,0.57,4,2,7,28.6,28.6,0.00%,0.00%,0.00%,0.00%,28.60%,
Phil Pressey,PHX,9,8,21.60%,1,8,4,7,57.1,57.1,0.00%,12.50%,0.00%,0.00%,50.00%,
Lavoy Allen,IND,79,8,1.30%,0.5,4,1,5,20,30,12.50%,25.00%,12.50%,0.00%,25.00%,
Trey Lyles,UTA,80,8,1.70%,0.5,4,2,8,25,25,0.00%,0.00%,0.00%,0.00%,25.00%,
Axel Toupane,DEN,21,8,6.60%,0.5,4,1,6,16.7,25,12.50%,12.50%,12.50%,0.00%,25.00%,
Omer Asik,NOP,68,2,0.40%,2.5,5,2,2,100,125,0.00%,0.00%,0.00%,0.00%,100.00%,
Willie Reed,BKN,39,2,1.00%,2.5,5,2,2,100,125,0.00%,0.00%,0.00%,0.00%,100.00%,
Jon Leuer,PHX,67,3,0.60%,1.67,5,2,3,66.7,83.3,0.00%,0.00%,0.00%,0.00%,66.70%,
Dahntay Jones,CLE,1,3,15.00%,1.67,5,1,2,50,75,33.30%,0.00%,33.30%,0.00%,66.70%,
Mason Plumlee,POR,82,3,0.30%,1.67,5,2,3,66.7,83.3,0.00%,0.00%,0.00%,0.00%,66.70%,
Spencer Dinwiddie,DET,14,4,5.90%,1.25,5,2,3,66.7,66.7,25.00%,0.00%,25.00%,0.00%,75.00%,
Festus Ezeli,GSW,46,4,0.90%,1.25,5,2,4,50,62.5,0.00%,0.00%,0.00%,0.00%,50.00%,
Josh McRoberts,MIA,42,5,1.90%,1,5,1,4,25,37.5,20.00%,0.00%,20.00%,0.00%,40.00%,
Alex Len,PHX,78,6,0.70%,0.83,5,2,5,40,50,0.00%,16.70%,0.00%,0.00%,33.30%,
Johnny OBryant,MIL,66,6,2.10%,0.83,5,2,6,33.3,41.7,0.00%,0.00%,0.00%,0.00%,33.30%,
Tony Wroten,PHI,8,6,15.80%,0.83,5,2,6,33.3,41.7,0.00%,0.00%,0.00%,0.00%,33.30%,
